Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,NORM_Abundance R1 127C Sample,NORM_Abundance R2 127C Sample,NORM_Abundance R3 127C Sample,NORM_Abundance R1 127N Sample,NORM_Abundance R2 127N Sample,NORM_Abundance R3 127N Sample,NORM_Abundance R1 128C Sample,NORM_Abundance R2 128C Sample,NORM_Abundance R3 128C Sample,NORM_Abundance R1 128N Sample,NORM_Abundance R2 128N Sample,NORM_Abundance R3 128N Sample,NORM_Abundance R1 129C Sample,NORM_Abundance R2 129C Sample,NORM_Abundance R3 129C Sample,NORM_Abundance R1 129N Sample,NORM_Abundance R2 129N Sample,NORM_Abundance R3 129N Sample,NORM_Abundance R1 130C Sample,NORM_Abundance R2 130C Sample,NORM_Abundance R3 130C Sample,NORM_Abundance R1 130N Sample,NORM_Abundance R2 130N Sample,NORM_Abundance R3 130N Sample,NORM_Abundance R1 126 control,NORM_Abundance R2 126 control,NORM_Abundance R3 126 control,P VALUE of127C Sample,Minus_log10_pvalue127C Sample,P VALUE of127N Sample,Minus_log10_pvalue127N Sample,P VALUE of128C Sample,Minus_log10_pvalue128C Sample,P VALUE of128N Sample,Minus_log10_pvalue128N Sample,P VALUE of129C Sample,Minus_log10_pvalue129C Sample,P VALUE of129N Sample,Minus_log10_pvalue129N Sample,P VALUE of130C Sample,Minus_log10_pvalue130C Sample,P VALUE of130N Sample,Minus_log10_pvalue130N Sample,FOLDCHANGE_127C Sample,FOLDCHANGE_127N Sample,FOLDCHANGE_128C Sample,FOLDCHANGE_128N Sample,FOLDCHANGE_129C Sample,FOLDCHANGE_129N Sample,FOLDCHANGE_130C Sample,FOLDCHANGE_130N Sample,LOG2 foldchange of127C Sample,LOG2 foldchange of127N Sample,LOG2 foldchange of128C Sample,LOG2 foldchange of128N Sample,LOG2 foldchange of129C Sample,LOG2 foldchange of129N Sample,LOG2 foldchange of130C Sample,LOG2 foldchange of130N Sample,LOG2FC-Expression_127C Sample,LOG2FC-Expression_127N Sample,LOG2FC-Expression_128C Sample,LOG2FC-Expression_128N Sample,LOG2FC-Expression_129C Sample,LOG2FC-Expression_129N Sample,LOG2FC-Expression_130C Sample,LOG2FC-Expression_130N Sample,adjusted P Value of127C Sample,adjusted P Value of127N Sample,adjusted P Value of128C Sample,adjusted P Value of128N Sample,adjusted P Value of129C Sample,adjusted P Value of129N Sample,adjusted P Value of130C Sample,adjusted P Value of130N Sample
XP_005251033.1,74054.7,124349.4,57905.7,67453.5,113976.1,54892.9,41878.7,72004.0,39250.7,78459.0,131329.0,61290.1,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,67286.18148148149,42553.46666666666,80178.53333333333,67286.18148148149,42553.46666666666,80178.53333333333,80178.53333333333,80178.53333333333,80178.53333333333,67286.18148148149,45535.12962962963,80178.53333333333,80178.53333333333,67286.18148148149,80178.53333333333,80178.53333333333,45535.12962962963,80178.53333333333,67286.18148148149,80178.53333333333,80178.53333333333,80178.53333333333,67286.18148148149,80178.53333333333,67286.18148148149,80178.53333333333,42553.46666666666,1.0,0.0,1.0,0.0,0.26667460845800023,0.5740183338847417,0.950270353204211,0.022152819762621435,0.3782741441748809,0.42219334262459596,0.757138686910412,0.12082456245072969,0.3782741441748809,0.42219334262459596,0.3782741441748809,0.42219334262459596,1.0,1.0,1.2658557098308076,1.0156914614155148,1.1980077189104847,1.0835394523358377,1.1980077189104847,1.1980077189104847,0.0,0.0,0.34011296671320096,0.022462218362560914,0.26063720361751824,0.11575168379895887,0.26063720361751824,0.26063720361751824,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XP_016873759.1,25771.4,22486.2,42002.5,24332.9,21067.5,37934.7,15718.3,14167.7,28127.6,24418.8,21835.2,39450.1,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,28940.62592592592,33501.38148148148,19181.925925925923,27689.58518518519,27689.58518518519,17101.57777777778,24930.096296296288,29886.981481481474,16147.933333333338,24930.096296296288,29886.981481481474,16532.951851851853,26870.75925925926,29886.981481481474,17256.36296296296,25408.53333333333,28294.93703703704,15933.725925925924,22922.925925925923,27689.58518518519,15265.0037037037,20449.588888888884,24420.281481481485,14060.351851851852,27689.58518518519,17256.36296296296,31653.840740740736,0.7947492123557277,0.09976989382492987,0.8174789481271628,0.08752342255749691,0.7654486343426068,0.1160839474478037,0.7779970660804587,0.10902204078340834,0.8879947272056026,0.05158961299652251,0.7046253366144157,0.15204174470005305,0.5599969924990591,0.25181430539481797,0.3311772269379811,0.4799395346746222,1.0655895338266816,0.9462264739826429,0.9264387296686775,0.9314650949381301,0.9662442256996838,0.9091042848343601,0.8600221458883239,0.7693261701765641,0.09165181750445489,-0.07974256905240665,-0.11023252859281882,-0.10242638723754852,-0.04954020740674406,-0.13748229707547244,-0.2175542846634426,-0.37833270953523745,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NP_001104026.1,32481.8,42074.6,48838.3,31264.1,39870.3,45191.5,22106.3,28072.4,32174.6,33688.6,43499.4,46530.0,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,42553.46666666666,35611.351851851854,42553.46666666666,32645.711111111115,35611.351851851854,35611.351851851854,42553.46666666666,37619.15555555555,37619.15555555555,31653.840740740736,35611.351851851854,34653.944444444445,37619.15555555555,37619.15555555555,37619.15555555555,45535.12962962963,42553.46666666666,45535.12962962963,34653.944444444445,31653.840740740736,30714.83333333334,35611.351851851854,32645.711111111115,31653.840740740736,30714.83333333334,35611.351851851854,35611.351851851854,0.09916497129613237,1.0036417094923555,0.7562635068823944,0.12132685576148042,0.08472559254945461,1.0719853851337415,0.9977368048110458,0.0009840071025903519,0.15548755568017908,0.8083043636512649,0.009002113563280244,2.045655512660052,0.46657041390637144,0.3310828040861737,0.7562632013515783,0.12132703121669289,1.1842378057586824,1.0189417738931266,1.1555289758960958,0.9998194973065385,1.10712373426937,1.3108392630418007,0.9517849983295871,0.9801188709062394,0.24395881638875733,0.02707161292109843,0.20855343709457053,-0.0002604338459364787,0.14681646949171553,0.39049079110542606,-0.07129237941613942,-0.028971361917771776,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NP_006280.3,19352.6,24082.6,25566.0,18193.2,23118.1,25173.6,12457.9,17340.7,20406.0,20672.8,25912.9,27516.3,19863.4,27546.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,23429.033333333333,25408.53333333333,23946.47407407408,20945.029629629626,20150.44074074074,18347.951851851853,23429.033333333333,26095.059259259266,24930.096296296288,21558.581481481484,20751.60740740741,19842.577777777773,20945.029629629626,24420.281481481485,23946.47407407408,23429.033333333333,24420.281481481485,21249.03703703704,25408.53333333333,28940.62592592592,27689.58518518519,26095.059259259266,26095.059259259266,24930.096296296288,20751.60740740741,17819.333333333332,19181.925925925923,0.011018800124331457,1.9578656947540118,0.6482606198348405,0.18825035986845795,0.008473028446720482,2.0719613355224227,0.22577610722023878,0.6463220192376031,0.05247328639750182,1.280061735123088,0.04067374909493377,1.3906857947407398,0.004237984283532018,2.372840658193411,0.007639183567238947,2.1169530538836865,1.2602671510806518,1.029272236221848,1.2891860298228583,1.076184962824356,1.2001444981983898,1.1964488663509665,1.42051380614488,1.335348689441358,0.33372958823787924,0.041624616733468796,0.3664604599276533,0.10592605374671857,0.26320811773709185,0.25875874051347675,0.5064128533225678,0.41721651108361635,nan,nan,nan,nan,nan,nan,Upregulated,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NP_003371.2,84439.1,110019.1,75159.6,75966.0,98001.9,65937.9,47818.9,60445.9,42664.1,78924.3,103808.0,76800.7,63406.0,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,80178.53333333333,80178.53333333333,67286.18148148149,80178.53333333333,67286.18148148149,67286.18148148149,67286.18148148149,42553.46666666666,67286.18148148149,80178.53333333333,67286.18148148149,67286.18148148149,67286.18148148149,45535.12962962963,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,80178.53333333333,50870.4,67286.18148148149,67286.18148148149,45535.12962962963,67286.18148148149,80178.53333333333,67286.18148148149,67286.18148148149,0.518518518518517,0.2852357284807505,1.0,0.0,0.2697881760635648,0.5689770879586781,1.0,0.0,0.25761146347250924,0.589034815178364,0.4226497308103755,0.37401940329451905,0.605720087520783,0.21772802357167592,0.25761146347250924,0.589034815178364,1.0600339839050732,1.0,0.8247966955408905,1.0,0.8386809820066808,0.9399660160949272,0.9235589617338209,0.8386809820066808,0.08411051726527019,0.0,-0.2778895421720296,0.0,-0.25380595311390575,-0.08931949692432578,-0.11472402638607912,-0.25380595311390575,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NP_733821.1,56570.4,66445.9,54005.2,52302.1,62699.7,50799.0,32198.3,38208.2,33367.3,52502.7,68047.3,55194.3,42372.0,51353.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,50870.4,37619.15555555555,50870.4,50870.4,39220.477777777785,50870.4,50870.4,34653.944444444445,50870.4,50870.4,39220.477777777785,50870.4,50870.4,33501.38148148148,45535.12962962963,50870.4,39220.477777777785,50870.4,50870.4,35611.351851851854,50870.4,50870.4,34653.944444444445,45535.12962962963,50870.4,50870.4,37619.15555555555,1.0,0.0,0.9321171858853744,0.030529484658795045,0.8945055812976888,0.04841694529311352,0.9321171858853744,0.030529484658795045,0.6665576428092324,0.17616228755320945,0.9321171858853744,0.030529484658795045,0.9257308407507883,0.03351526749598036,0.6924779043753525,0.15959407953564664,1.0,1.0114905477390443,0.9787226459760958,1.0114905477390443,0.9321681439495293,1.0114905477390443,0.9855926783579999,0.940438546723183,0.0,0.016482838142639244,-0.031028013368595102,0.016482838142639244,-0.1013378840393883,0.016482838142639244,-0.020936556118994795,-0.08859442145718188,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NP_005091.2,11595.0,33603.8,14992.3,10290.7,30566.1,14268.7,6238.1,16728.7,8023.4,11015.1,33196.3,14327.0,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,10429.929629629629,10069.044444444446,22430.366666666672,10880.533333333333,12278.437037037034,23946.47407407408,10069.044444444446,10169.025925925924,22922.925925925923,11084.277777777776,11898.42962962963,24930.096296296288,22430.366666666672,21977.929629629627,50870.4,15265.0037037037,16366.08148148148,35611.351851851854,20751.60740740741,17101.57777777778,42553.46666666666,20751.60740740741,21558.581481481484,50870.4,11312.0,25408.53333333333,12736.129629629631,0.7373621467952174,0.13231916108835023,0.9040308153798551,0.043816765629353195,0.7516008120005421,0.12401275937624293,0.9392058300448191,0.02723922023994915,0.24855525588880362,0.6045770489427207,0.5041509534754524,0.2974394071146588,0.336646719749979,0.47282561289490377,0.27897764016480486,0.5544306036876414,0.8680193561156688,0.9524590140608702,0.8727033671604297,0.9687835942264155,1.9265087975638084,1.3596234159064364,1.625800186156245,1.8840856480484713,-0.20420088094948324,-0.07027108257888037,-0.1964367313520473,-0.04575366083013865,0.9459887742002651,0.4432071138009818,0.7011499584244749,0.9138645494550593,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NP_006608.1,39044.2,32999.6,21444.2,35084.1,31848.4,20728.0,19284.2,19396.5,14526.3,36987.7,33676.9,20717.9,29911.0,27619.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,35611.351851851854,18933.022222222226,28294.93703703704,42553.46666666666,16532.951851851853,26095.059259259266,37619.15555555555,17819.333333333332,25408.53333333333,42553.46666666666,16366.08148148148,25408.53333333333,35611.351851851854,17458.574074074073,25408.53333333333,42553.46666666666,17819.333333333332,28940.62592592592,42553.46666666666,20945.029629629626,29886.981481481474,42553.46666666666,17819.333333333332,26870.75925925926,42553.46666666666,24420.281481481485,16532.951851851853,0.9818578796953543,0.00795137018746888,0.9613270656129453,0.017128830203393324,0.9313572390940359,0.030883705475448803,0.98112372619727,0.008276221757139015,0.8671812607858047,0.06189011552115374,0.8629099142755721,0.06403454122008377,0.7575133459920366,0.12060971128818083,0.9118211935455623,0.04009031766934783,0.9920079599734046,1.0200556096430318,0.9681501271421599,1.0098361147247044,0.9397863795271427,1.0695360483161938,1.1182992236284963,1.0447492148445483,-0.011576397896096217,0.028647804715720065,-0.04669731712929129,0.01412117846377962,-0.08959523620456031,0.09698510882419288,0.16130626214022578,0.06315667443892736,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NP_006588.1,32383.6,54593.5,65676.1,30377.5,49172.1,59524.1,19612.3,31493.8,41204.4,32720.6,55504.1,67534.6,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,37619.15555555555,67286.18148148149,45535.12962962963,31653.840740740736,45535.12962962963,42553.46666666666,32645.711111111115,67286.18148148149,45535.12962962963,29886.981481481474,50870.4,45535.12962962963,39220.477777777785,80178.53333333333,42553.46666666666,31653.840740740736,80178.53333333333,42553.46666666666,37619.15555555555,67286.18148148149,45535.12962962963,37619.15555555555,80178.53333333333,42553.46666666666,29886.981481481474,42553.46666666666,45535.12962962963,0.3600167229143894,0.44367732561948725,0.9310460777366717,0.03102882512866351,0.4755018067210476,0.3228478285741159,0.7450064630211253,0.12783995967823575,0.38428605987811043,0.4153453694461901,0.5019924812432115,0.2993027875940999,0.3600167229143894,0.44367732561948725,0.40811855809501496,0.3892136564028851,1.2751831311226185,1.014976483205595,1.2330265717895288,1.070497076513576,1.3727627431741523,1.308625426116127,1.2751831311226185,1.359189406621069,0.35070444974316106,0.02144630085310178,0.30220389023216904,0.0982808557840247,0.4570823036907178,0.3880522071247628,0.35070444974316106,0.44274651346554883,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NP_008835.5,11414.0,19681.0,10169.1,11549.2,19889.7,10528.4,10957.3,18174.7,11998.4,12807.2,22368.7,11691.9,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,19842.577777777773,15116.114814814811,26095.059259259266,11898.42962962963,9097.14814814815,16366.08148148148,22430.366666666672,18568.188888888883,31653.840740740736,12436.966666666667,9932.2037037037,17101.57777777778,14948.144444444448,13248.2037037037,20150.44074074074,15562.296296296292,11312.0,22922.925925925923,20150.44074074074,16683.95185185185,25408.53333333333,16883.55925925926,14401.688888888886,23429.033333333333,11234.433333333334,15116.114814814811,8274.34074074074,0.0910629128781173,1.0406584617956776,0.768807170111688,0.11418257496825723,0.06268435900662317,1.2028408107564208,0.6058147016472225,0.21766019160601766,0.18634271950149126,0.7296875706702441,0.2825667102129947,0.5488790046332682,0.049096662543792004,1.3089480290191506,0.12190730723076754,0.913970261609776,1.763290910413404,1.0790405531452436,2.0982708862817585,1.1399530630931294,1.396301632736888,1.4381915385207813,1.7976353982149424,1.5802009259021557,0.8182705123143037,0.10974908606978649,1.06920094153184,0.1889744234805135,0.48161062997711657,0.5242558268706119,0.8461004388017632,0.6601080118028508,nan,nan,nan,nan,nan,nan,Upregulated,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
