Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,NORM_Abundance R1 127C Sample,NORM_Abundance R2 127C Sample,NORM_Abundance R3 127C Sample,NORM_Abundance R1 127N Sample,NORM_Abundance R2 127N Sample,NORM_Abundance R3 127N Sample,NORM_Abundance R1 128C Sample,NORM_Abundance R2 128C Sample,NORM_Abundance R3 128C Sample,NORM_Abundance R1 128N Sample,NORM_Abundance R2 128N Sample,NORM_Abundance R3 128N Sample,NORM_Abundance R1 129C Sample,NORM_Abundance R2 129C Sample,NORM_Abundance R3 129C Sample,NORM_Abundance R1 129N Sample,NORM_Abundance R2 129N Sample,NORM_Abundance R3 129N Sample,NORM_Abundance R1 130C Sample,NORM_Abundance R2 130C Sample,NORM_Abundance R3 130C Sample,NORM_Abundance R1 130N Sample,NORM_Abundance R2 130N Sample,NORM_Abundance R3 130N Sample,NORM_Abundance R1 126 control,NORM_Abundance R2 126 control,NORM_Abundance R3 126 control
XP_005251033.1,74054.7,124349.4,57905.7,67453.5,113976.1,54892.9,41878.7,72004.0,39250.7,78459.0,131329.0,61290.1,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,67286.18148148149,42553.46666666666,80178.53333333333,67286.18148148149,42553.46666666666,80178.53333333333,80178.53333333333,80178.53333333333,80178.53333333333,67286.18148148149,45535.12962962963,80178.53333333333,80178.53333333333,67286.18148148149,80178.53333333333,80178.53333333333,45535.12962962963,80178.53333333333,67286.18148148149,80178.53333333333,80178.53333333333,80178.53333333333,67286.18148148149,80178.53333333333,67286.18148148149,80178.53333333333,42553.46666666666
XP_016873759.1,25771.4,22486.2,42002.5,24332.9,21067.5,37934.7,15718.3,14167.7,28127.6,24418.8,21835.2,39450.1,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,28940.625925925917,33501.38148148148,19181.925925925923,27689.58518518519,27689.58518518519,17101.57777777778,24930.096296296288,29886.981481481474,16147.933333333338,24930.096296296288,29886.981481481474,16532.951851851853,26870.75925925926,29886.981481481474,17256.36296296296,25408.53333333333,28294.937037037038,15933.725925925924,22922.925925925923,27689.58518518519,15265.0037037037,20449.588888888884,24420.281481481485,14060.351851851852,27689.58518518519,17256.36296296296,31653.840740740736
NP_001104026.1,32481.8,42074.6,48838.3,31264.1,39870.3,45191.5,22106.3,28072.4,32174.6,33688.6,43499.4,46530.0,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,42553.46666666666,35611.351851851854,42553.46666666666,32645.711111111115,35611.351851851854,35611.351851851854,42553.46666666666,37619.15555555555,37619.15555555555,31653.840740740736,35611.351851851854,34653.944444444445,37619.15555555555,37619.15555555555,37619.15555555555,45535.12962962963,42553.46666666666,45535.12962962963,34653.944444444445,31653.840740740736,30714.83333333334,35611.351851851854,32645.711111111115,31653.840740740736,30714.83333333334,35611.351851851854,35611.351851851854
NP_006280.3,19352.6,24082.6,25566.0,18193.2,23118.1,25173.6,12457.9,17340.7,20406.0,20672.8,25912.9,27516.3,19863.4,27546.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,23429.033333333333,25408.53333333333,23946.47407407408,20945.029629629626,20150.44074074074,18347.951851851853,23429.033333333333,26095.059259259262,24930.096296296288,21558.581481481484,20751.60740740741,19842.577777777773,20945.029629629626,24420.281481481485,23946.47407407408,23429.033333333333,24420.281481481485,21249.037037037036,25408.53333333333,28940.625925925917,27689.58518518519,26095.059259259262,26095.059259259262,24930.096296296288,20751.60740740741,17819.333333333332,19181.925925925923
NP_003371.2,84439.1,110019.1,75159.6,75966.0,98001.9,65937.9,47818.9,60445.9,42664.1,78924.3,103808.0,76800.7,63406.0,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,80178.53333333333,80178.53333333333,67286.18148148149,80178.53333333333,67286.18148148149,67286.18148148149,67286.18148148149,42553.46666666666,67286.18148148149,80178.53333333333,67286.18148148149,67286.18148148149,67286.18148148149,45535.12962962963,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,80178.53333333333,50870.399999999994,67286.18148148149,67286.18148148149,45535.12962962963,67286.18148148149,80178.53333333333,67286.18148148149,67286.18148148149
NP_733821.1,56570.4,66445.9,54005.2,52302.1,62699.7,50799.0,32198.3,38208.2,33367.3,52502.7,68047.3,55194.3,42372.0,51353.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,50870.399999999994,37619.15555555555,50870.399999999994,50870.399999999994,39220.477777777785,50870.399999999994,50870.399999999994,34653.944444444445,50870.399999999994,50870.399999999994,39220.477777777785,50870.399999999994,50870.399999999994,33501.38148148148,45535.12962962963,50870.399999999994,39220.477777777785,50870.399999999994,50870.399999999994,35611.351851851854,50870.399999999994,50870.399999999994,34653.944444444445,45535.12962962963,50870.399999999994,50870.399999999994,37619.15555555555
NP_005091.2,11595.0,33603.8,14992.3,10290.7,30566.1,14268.7,6238.1,16728.7,8023.4,11015.1,33196.3,14327.0,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,10429.929629629629,10069.044444444446,22430.366666666672,10880.533333333333,12278.437037037034,23946.47407407408,10069.044444444446,10169.025925925924,22922.925925925923,11084.277777777777,11898.42962962963,24930.096296296288,22430.366666666672,21977.929629629627,50870.399999999994,15265.0037037037,16366.08148148148,35611.351851851854,20751.60740740741,17101.57777777778,42553.46666666666,20751.60740740741,21558.581481481484,50870.399999999994,11312.0,25408.53333333333,12736.129629629631
NP_006608.1,39044.2,32999.6,21444.2,35084.1,31848.4,20728.0,19284.2,19396.5,14526.3,36987.7,33676.9,20717.9,29911.0,27619.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,35611.351851851854,18933.022222222222,28294.937037037038,42553.46666666666,16532.951851851853,26095.059259259262,37619.15555555555,17819.333333333332,25408.53333333333,42553.46666666666,16366.08148148148,25408.53333333333,35611.351851851854,17458.574074074073,25408.53333333333,42553.46666666666,17819.333333333332,28940.625925925917,42553.46666666666,20945.029629629626,29886.981481481474,42553.46666666666,17819.333333333332,26870.75925925926,42553.46666666666,24420.281481481485,16532.951851851853
NP_006588.1,32383.6,54593.5,65676.1,30377.5,49172.1,59524.1,19612.3,31493.8,41204.4,32720.6,55504.1,67534.6,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,37619.15555555555,67286.18148148149,45535.12962962963,31653.840740740736,45535.12962962963,42553.46666666666,32645.711111111115,67286.18148148149,45535.12962962963,29886.981481481474,50870.399999999994,45535.12962962963,39220.477777777785,80178.53333333333,42553.46666666666,31653.840740740736,80178.53333333333,42553.46666666666,37619.15555555555,67286.18148148149,45535.12962962963,37619.15555555555,80178.53333333333,42553.46666666666,29886.981481481474,42553.46666666666,45535.12962962963
NP_008835.5,11414.0,19681.0,10169.1,11549.2,19889.7,10528.4,10957.3,18174.7,11998.4,12807.2,22368.7,11691.9,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,19842.577777777773,15116.114814814813,26095.059259259262,11898.42962962963,9097.14814814815,16366.08148148148,22430.366666666672,18568.188888888883,31653.840740740736,12436.966666666667,9932.2037037037,17101.57777777778,14948.144444444448,13248.2037037037,20150.44074074074,15562.296296296292,11312.0,22922.925925925923,20150.44074074074,16683.95185185185,25408.53333333333,16883.55925925926,14401.688888888886,23429.033333333333,11234.433333333334,15116.114814814813,8274.34074074074
