Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample
XP_005251039.1,214.1,,,206.6,,,192.3,,,241.6,,,251.5,,,210.0,,,204.3,,,226.4,,,228.1,,
NP_842565.2,594.1,,,564.7,,,340.0,,,613.5,,,483.8,,,619.1,,,409.9,,,444.9,,,375.9,,
XP_024309291.1,,419.8,,,369.6,,,298.5,,,381.7,,,401.4,,,373.4,,,360.7,,,340.3,,,286.5,
NP_068814.2,,,90.7,,,91.8,,,93.1,,,82.9,,,100.8,,,118.6,,,105.5,,,76.2,,,106.8
XP_011529449.1,139.0,,,128.6,,,86.9,,,123.4,,,108.8,,,128.6,,,103.5,,,91.0,,,89.2,,
NP_938149.2,,608.0,,,586.3,,,317.7,,,692.5,,,665.7,,,436.6,,,608.2,,,655.4,,,337.5,
NP_001017992.1,,,27.7,,,25.8,,,28.6,,,32.1,,,40.8,,,33.7,,,35.5,,,29.5,,,29.0
NP_001949.1,,,50.1,,,39.9,,,39.0,,,42.2,,,61.9,,,37.7,,,59.1,,,59.3,,,84.2
NP_001278464.1,,,117.8,,,110.2,,,65.2,,,109.7,,,97.7,,,119.5,,,68.4,,,71.0,,,58.9
XP_024303167.1,,386.0,,,398.0,,,285.4,,,399.1,,,350.6,,,377.3,,,309.4,,,312.9,,,264.1,
NP_001306007.1,,,864.8,,,868.0,,,601.0,,,861.2,,,769.5,,,784.9,,,1310.6,,,1127.5,,,1483.4
NP_114127.3,205.7,,,186.5,,,152.5,,,175.2,,,218.4,,,235.0,,,150.7,,,144.0,,,124.4,,
NP_001229687.1,,,233.5,,,221.4,,,123.8,,,230.8,,,218.5,,,243.6,,,168.9,,,225.1,,,157.6
NP_001958.2,487.3,,,491.4,,,350.9,,,506.6,,,510.8,,,505.7,,,491.6,,,437.3,,,437.5,,
NP_002700.1,,,856.3,,,851.8,,,661.9,,,863.4,,,939.6,,,817.5,,,764.8,,,709.0,,,716.0
NP_778235.1,,90.4,,,137.3,,,236.6,,,65.3,,,187.8,,,444.0,,,130.8,,,226.0,,,161.3,
NP_001198.2,,,3819.6,,,3559.7,,,2522.6,,,3442.3,,,3168.0,,,3304.7,,,2576.1,,,2144.2,,,1882.4
NP_001171889.1,,2304.4,,,2182.5,,,1250.6,,,2328.8,,,1901.3,,,2259.9,,,1692.2,,,1987.3,,,1270.0,
