gene,pvalue,log10pvalue,LOG2 foldchange of130N Sample
PLEC,0.378274144,0.422193343,0.260637204
AHNAK,0.331177227,0.479939535,-0.37833271
FLNA,0.756263201,0.121327031,-0.028971362
TLN1,0.007639184,2.116953054,0.417216511
VIM,0.257611463,0.589034815,-0.253805953
LMNA,0.692477904,0.15959408,-0.088594421
AKAP12,0.27897764,0.554430604,0.913864549
NES,0.911821194,0.040090318,0.063156674
HSPA8,0.408118558,0.389213656,0.442746513
PRKDC,0.121907307,0.913970262,0.660108012
RRBP1,0.920215583,0.036110417,-0.043171066
MYH9,0.322276289,0.491771646,-0.110142389
PKM,0.025864427,1.587297138,0.574324698
HSP90AA1,0.720013731,0.142659222,-0.050266906
HSP90AB1,0.573205227,0.241689858,0.093665332
HSPA5,0.699899281,0.154964452,0.123179354
ACTG1,0.87012668,0.060417515,-0.179434933
ENO1,0.165425072,0.781398667,0.178090024
EEF2,0.007110807,2.148081078,0.554343237
PYGB,0.00181365,2.741446513,0.796314799
ATP1A1,0.033989811,1.468651253,0.610823329
LMNB1,0.020722881,1.68354986,-0.43182103
GCN1,0.017883805,1.747540078,0.577052727
HNRNPA1,0.017380559,1.759936272,-0.285143998
PHB1,0.043233274,1.364181876,0.134685685
RECQL,0.000238857,3.621861182,0.217494645
HMGB2,0.52144273,0.282793383,-0.840577871
MT2A,0.518691275,0.285091057,0.322483102
XP_016882424.1,0.578872523,0.237417064,0.416396537
ABCF1,0.965063362,0.015444172,-0.034558649
PPP1CC,0.722043092,0.141436882,0.174518013
PSMD13,0.886925503,0.052112857,0.055694615
NIBAN2,0.977026964,0.010093451,-0.043020604
EIF4A3,0.663959542,0.177858383,-0.272954349
BOP1,0.932907278,0.030161519,-0.074343896
NMT1,0.867065995,0.061947846,-0.23135352
SCAMP3,0.941772911,0.026053806,0.051395757
UBE2M,0.600449289,0.221523665,0.162629295
SSB,0.13709886,0.862966156,-0.432753705
SNX5,0.8287161,0.081594224,-0.148894364
ESYT1,0.36203434,0.441250233,0.596773696
PSAT1,0.935851805,0.028792918,-0.091084734
ENO2,0.572719246,0.242058222,0.323554241
ACTR3,0.40784024,0.389509926,0.21571726
DCPS,0.794508187,0.099901624,0.197852652
PAFAH1B1,0.615072297,0.211073834,0.200389379
HMGA1,0.002971962,2.526956752,0.724056269
TIMM44,0.835950607,0.077819383,-0.179857981
LTA4H,0.776369114,0.10993175,0.263648668
SHMT2,0.650198358,0.186954132,0.278144837
MDH1,0.776111815,0.110075705,0.2323216
EIF4H,0.590223403,0.228983575,-0.234361328
CD55,0.236765683,0.625681244,1.568859872
ZMYND8,0.827726643,0.082113066,-0.463177221
PAK2,0.964313613,0.015781702,-0.033681697
H2AC20,0.03224944,1.491477821,-0.711020614
SEPTIN2,0.826552558,0.082729526,0.075219912
SAFB2,0.897852671,0.046794921,-0.101120557
EBNA1BP2,0.00627776,2.202195278,-0.204170946
EIF4G2,0.823648354,0.084258165,-0.12557642
RRP9,0.547847326,0.261340454,-0.285833707
XPO1,0.902377737,0.044611628,0.099727164
XP_016855583.1,0.140347625,0.852794932,-0.111928398
RBM39,0.92666672,0.033076434,-0.15636199
OLA1,0.940029012,0.026858743,0.109293065
CD44,0.27404285,0.562181525,-0.302369643
NAT10,0.960689347,0.017417025,-0.059601064
EIF2S2,0.899461936,0.046017211,-0.152793486
TP53BP1,0.804353317,0.094553143,0.189792058
GOT2,0.641607588,0.192730509,0.190719984
XP_016860272.1,0.845370421,0.072952952,0.18675806
UTP14A,0.864072226,0.063449954,-0.246816823
TCEA1,0.391901812,0.406822729,-0.606151039
EIF6,0.877985972,0.056512423,-0.15039789
OGFR,0.884120772,0.053488406,-0.189943849
CDC42,0.939368164,0.027164163,0.080326503
RPS9,0.589767476,0.229319181,-0.234450651
TGOLN2,0.72912701,0.137196813,-0.333441119
XP_016870502.1,0.374383369,0.426683452,-0.313890681
SNW1,0.868483441,0.061238458,-0.142258935
TPP2,0.52909918,0.276462911,0.275644307
SRPRB,0.794712936,0.099789718,0.207682035
RBM25,0.783303006,0.106070207,-0.249908372
SGTA,0.755536492,0.121744555,-0.16930234
RAD23B,0.901786111,0.044896458,-0.058643126
SYNM,0.664077298,0.177781366,-0.177664308
RBBP5,0.854264057,0.068407866,-0.102365664
UBQLN1,0.886544372,0.052299523,-0.113666799
NT5E,0.404114769,0.393495277,0.415022253
KHDRBS1,0.76513043,0.116264525,-0.226221051
XP_024307243.1,0.78527567,0.104977858,-0.267268186
IDH3A,0.354084227,0.450893419,0.317061195
DNAJB1,0.966076964,0.014988273,-0.045456903
GALNT2,0.808204088,0.092478957,0.166563427
NP_001346122.1,0.529859478,0.275839292,-0.601582235
ADH5,0.950473636,0.022059925,-0.100898024
CDK1,0.503903269,0.297652825,-0.39947542
GLG1,0.8980116,0.046718053,-0.082823339
HNRNPA0,0.54092125,0.266865957,-0.303234355
ANXA4,0.880260419,0.055388826,0.222578671
IKBIP,0.589727782,0.229348412,0.658524358
API5,0.600447882,0.221524683,-0.191523262
