,Gene symbol,theoritical_peptide,Sum_of_intensity,iBAQ
0,WP_000002712.1,21,440863713.60819995,20993510.171819046
1,WP_000003225.1,19,128674298.95999998,6772331.524210525
2,WP_000004123.1,29,487341145.95200014,16804867.101793107
3,WP_000004170.1,41,3893949491.428998,94974377.83973166
4,WP_000004280.1,13,7000731934.023399,538517841.0787231
5,WP_000004301.1,7,1101391052.8370001,157341578.9767143
6,WP_000004519.1,44,6193068222.291754,140751550.50663078
7,WP_000004530.1,19,7609774418.396405,400514443.07349503
8,WP_000005292.1,36,6969401963.8901005,193594498.99694723
9,WP_000005312.1,73,19299463388.06936,264376210.79547065
10,WP_000007157.1,8,14937012.93,1867126.61625
11,WP_000007225.1,45,87863235.036,1952516.3341333333
12,WP_000007538.1,31,322436226.03000003,10401168.581612904
13,WP_000007746.1,19,3868445396.113097,203602389.26911038
14,WP_000008605.1,4,493099275.9980001,123274818.99950002
15,WP_000010033.1,49,13537863.834000003,276282.93538775516
16,WP_000010051.1,6,433015942.09599996,72169323.68266666
17,WP_000010076.1,20,3934618083.073803,196730904.15369016
18,WP_000010431.1,47,323894756.88759995,6891377.806119148
19,WP_000010627.1,35,613575652.8586003,17530732.93881715
20,WP_000011406.1,70,716802990.0189002,10240042.714555716
21,WP_000012417.1,18,420391204.16109985,23355066.89783888
22,WP_000013204.1,15,3975978993.4087987,265065266.22725326
23,WP_000013216.1,32,288727174.44060004,9022724.201268751
24,WP_000013232.1,46,18072928145.832336,392889742.300703
25,WP_000013261.1,29,1037684021.8057998,35782207.648475856
26,WP_000013299.1,28,804385064.0889999,28728038.003178567
27,WP_000013893.1,37,670313206.4024001,18116573.146010816
28,WP_000014140.1,23,14202741533.73488,617510501.4667339
29,WP_000014283.1,39,2369691663.5937004,60761324.70753078
30,WP_000014613.1,19,1344981727.7414002,70788511.98638949
31,WP_000015950.1,4,34540177.389,8635044.34725
32,WP_000016317.1,42,8723274575.318993,207697013.69807124
33,WP_000016451.1,15,18573376.084000003,1238225.072266667
34,WP_000016784.1,32,51531061.581,1610345.67440625
35,WP_000016926.1,68,1586048152.795,23324237.541102942
36,WP_000017090.1,40,1268111965.6557996,31702799.14139499
37,WP_000017270.1,20,95851321.996,4792566.0998
38,WP_000017889.1,27,1400642551.6759999,51875650.06207407
39,WP_000017970.1,21,920592779.7760001,43837751.41790477
40,WP_000018115.1,34,1806140701.3869605,53121785.3349106
41,WP_000018463.1,28,280395394.91899997,10014121.247107143
42,WP_000018492.1,48,1102608495.7596004,22971010.328325007
43,WP_000019011.1,22,5111221.328,232328.24218181818
44,WP_000019139.1,53,251883994.99299997,4752528.207415094
45,WP_000020273.1,22,89022456.79800001,4046475.3090000004
46,WP_000022300.1,20,2458887.694,122944.38470000001
47,WP_000022528.1,12,153427517.04000002,12785626.420000002
48,WP_000026697.1,30,1229707874.2164,40990262.47388
49,WP_000026907.1,20,426391326.0240001,21319566.301200006
50,WP_000027575.1,36,1275022029.0277996,35417278.584105544
51,WP_000027848.1,141,9096364.708,64513.22487943263
52,WP_000028195.1,12,2445707182.1095405,203808931.8424617
53,WP_000028769.1,94,42958121.28,457001.290212766
54,WP_000029425.1,12,1159192102.7739997,96599341.8978333
55,WP_000031208.1,30,21975420.055,732514.0018333333
56,WP_000031821.1,51,293979662598.94867,5764307109.783307
57,WP_000031888.1,12,3009665368.83999,250805447.4033325
58,WP_000032804.1,13,2015314662.1950006,155024204.78423083
59,WP_000033195.1,59,1585458644.2614,26872180.41121017
60,WP_000033461.1,32,591752951.3296,18492279.72905
61,WP_000033675.1,16,460583429.002,28786464.312625
62,WP_000033731.1,6,71516386.278,11919397.713
63,WP_000033739.1,15,3372994906.186698,224866327.0791132
64,WP_000034360.1,12,9696631226.3497,808052602.1958084
65,WP_000034818.1,19,132118906.14600001,6953626.639263159
66,WP_000034952.1,25,51785171.236,2071406.84944
67,WP_000036619.1,31,4161337.406,134236.69051612902
68,WP_000038408.1,14,40127822.752,2866273.0537142856
69,WP_000039429.1,5,630603514.4825001,126120702.89650002
70,WP_000039575.1,35,1212485007.369001,34642428.781971455
71,WP_000039671.1,23,3740407124.4766,162626396.71637392
72,WP_000040881.1,18,583389055.08,32410503.060000002
73,WP_000041092.1,18,115185060908.4684,6399170050.470467
74,WP_000041838.1,12,30095242.68,2507936.89
75,WP_000042798.1,44,19408938547.231113,441112239.70979804
76,WP_000043034.1,68,1413810383.758201,20791329.172914717
77,WP_000043153.1,16,26821046693.071487,1676315418.316968
78,WP_000043664.1,35,16654290.5222,475836.87206285715
79,WP_000045337.1,69,843066466.8815,12218354.592485508
80,WP_000045629.1,8,493138118.43470013,61642264.80433752
81,WP_000045686.1,64,15173142243.611868,237080347.55643544
82,WP_000047041.1,22,29146528.144199997,1324842.1883727273
83,WP_000047876.1,9,4641920718.9964,515768968.7773778
84,WP_000048017.1,24,136728516227.16106,5697021509.465044
85,WP_000049027.1,24,1074295350.7175999,44762306.27989999
86,WP_000050431.1,28,297208747.32710004,10614598.118825002
87,WP_000050477.1,14,1656509637.5077999,118322116.96484284
88,WP_000050531.1,16,4176679118.2050977,261042444.8878186
89,WP_000050899.1,21,12984116745.530794,618291273.5967045
90,WP_000050920.1,54,31864934080.276722,590091371.8569764
91,WP_000051773.1,7,1577468443.8079998,225352634.82971427
92,WP_000052101.1,23,5469346383.319062,237797668.83995923
93,WP_000052388.1,27,405131670.0898,15004876.669992592
94,WP_000052667.1,19,323936929.6465999,17049312.086663153
95,WP_000053346.1,29,38189498696.46659,1316879265.3953996
96,WP_000053472.1,23,650755707.1359999,28293726.39721739
97,WP_000053804.1,9,333944360.64519995,37104928.96057777
98,WP_000054108.1,29,11708691259.133297,403747974.45287234
99,WP_000054152.1,21,21361114043.99945,1017195906.8571167
100,WP_000054169.1,32,25424730.522,794522.8288125
101,WP_000054457.1,12,8839827432.407536,736652286.0339613
102,WP_000054706.1,73,225470958.14,3088643.262191781
103,WP_000055665.1,31,86236873.42,2781834.626451613
104,WP_000057258.1,39,11714879.74,300381.5317948718
105,WP_000057945.1,9,370479566.3423,41164396.26025555
106,WP_000058095.1,18,6542014104.14104,363445228.00783557
107,WP_000058820.1,10,116280124.17642997,11628012.417642998
108,WP_000058904.1,49,5412310951.581846,110455325.54248665
109,WP_000060053.1,15,32597010525.454407,2173134035.030294
110,WP_000060680.1,23,407660705.8675999,17724378.515982606
111,WP_000061045.1,14,5906863.158,421918.79699999996
112,WP_000061100.1,10,182877094.27200004,18287709.427200004
113,WP_000062490.1,24,1387184074.0141993,57799336.4172583
114,WP_000062824.1,21,2253660715.1753993,107317176.91311425
115,WP_000063680.1,9,246908356.78800002,27434261.865333334
116,WP_000063746.1,19,3437034681.4948,180896562.18393683
117,WP_000063951.1,65,14335269740.583046,220542611.39358532
118,WP_000064092.1,109,29167189972.773098,267588898.83278072
119,WP_000066266.1,66,3323151831.7525983,50350785.32958482
120,WP_000067295.1,9,2051075821.3962,227897313.48846665
121,WP_000067921.1,19,574255600.6467,30223978.981405266
122,WP_000068280.1,24,3109538164.5136023,129564090.18806677
123,WP_000068289.1,37,28973151213.327084,783058140.900732
124,WP_000070167.1,32,6067893.82,189621.681875
125,WP_000070243.1,6,49448777.01,8241462.835
126,WP_000070955.1,33,5008836205.916801,151782915.33081216
127,WP_000072965.1,16,29695591915.108387,1855974494.6942742
128,WP_000074962.1,21,193552730.70999998,9216796.70047619
129,WP_000075289.1,8,334736959.66499996,41842119.958124995
130,WP_000076448.1,38,690683153.4057798,18175872.45804684
131,WP_000076460.1,51,21221972586.766914,416117109.5444493
132,WP_000076846.1,85,3413506645.312003,40158901.70955298
133,WP_000076961.1,52,493322603.9530004,9486973.152942317
134,WP_000077234.1,11,2581856014.8394985,234714183.16722715
135,WP_000077420.1,8,100635838.348,12579479.7935
136,WP_000078168.1,30,28335194647.769966,944506488.2589989
137,WP_000078418.1,11,17885309.532,1625937.2301818184
138,WP_000079225.1,10,494132368.3579999,49413236.83579999
139,WP_000080465.1,7,374322287.5829,53474612.511842854
140,WP_000081487.1,21,4182273642.313104,199155887.72919545
141,WP_000082164.1,28,2221633613.9856987,79344057.64234638
142,WP_000082216.1,14,4616925089.497697,329780363.53554976
143,WP_000083101.1,36,1044068976.2740002,29001916.007611115
144,WP_000085100.1,26,46596960.819,1792190.800730769
145,WP_000086547.1,27,14974930718.004602,554627063.6298001
146,WP_000086813.1,41,5595995320.544802,136487690.74499518
147,WP_000086941.1,32,7847856971.003276,245245530.34385237
148,WP_000087417.1,19,23648917.0,1244679.8421052631
149,WP_000087787.1,9,20560864.08,2284540.453333333
150,WP_000088214.1,39,45139681414.77203,1157427728.5838983
151,WP_000088543.1,20,1000832818.4449998,50041640.92224999
152,WP_000088841.1,16,23404912.29,1462807.018125
153,WP_000090415.1,29,10653120.7,367348.9896551724
154,WP_000090769.1,20,1593841418.935,79692070.94675
155,WP_000091209.1,19,5022112692.850998,264321720.67636833
156,WP_000091635.1,22,75002745.856,3409215.720727273
157,WP_000091691.1,12,21256129667.721592,1771344138.9767992
158,WP_000091728.1,35,9071046765.901016,259172764.74002904
159,WP_000091770.1,22,31535609826.81442,1433436810.3097463
160,WP_000092003.1,17,13900382116.146917,817669536.2439363
161,WP_000092383.1,28,32319817.62,1154279.2007142857
162,WP_000092385.1,20,5638062.9636,281903.14818
163,WP_000093551.1,11,1955127114.4574008,177738828.58703643
164,WP_000093663.1,13,89437696.86539999,6879822.835799999
165,WP_000094317.1,29,725067939.4453998,25002342.739496544
166,WP_000095033.1,21,40466827.271,1926991.7748095237
167,WP_000095801.1,38,2752835178.4324007,72443031.01137896
168,WP_000096242.1,22,475363298.03990006,21607422.638177276
169,WP_000096813.1,32,96076093.99000002,3002377.9371875008
170,WP_000097761.1,16,6835256694.943102,427203543.43394387
171,WP_000097929.1,47,122384828.96959998,2603932.5312680844
172,WP_000098174.1,37,1408867286.2977903,38077494.2242646
173,WP_000098500.1,16,1366359064.208,85397441.513
174,WP_000098504.1,25,11672076.764,466883.07056
175,WP_000098756.1,57,315125416.4238,5528516.077610526
176,WP_000099241.1,25,2375391932.6038995,95015677.30415598
177,WP_000099422.1,18,1266674369.2231994,70370798.29017775
178,WP_000101124.1,13,50949686889.47937,3919206683.8061056
179,WP_000101415.1,59,11968419.084,202854.56074576272
180,WP_000102005.1,4,295309402.72939986,73827350.68234996
181,WP_000102023.1,60,97065435732.62541,1617757262.2104235
